AFF_LOVE_POINT	Sevgi Puani: %%%d
MONEY_INPUT_DIALOG_SELLPRICE	Satis Fiyati:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Ozel depo actigin surece nesneleri baska yere tasiyamazsin.
MUSIC_EMPTY_MUSIC_LIST	Fon muzigi yok.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standart Muzigi
MUSIC_NOT_SELECT_MUSIC	Hic Muzik dosyasi secilmedi.
NEEFD_REST	Once dinlenmelisin.
NOT_YET_SUPPORT	Desteklenmiyor
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Herhangi bir Loncada degilken Lonca Modunu aktif edemezsiniz.
OPTION_PVPMODE_NOT_SUPPORT	PvP Modunda bu bicimi secemezsiniz.
OPTION_PVPMODE_PROTECT	PvP-Modu'nu degistirmek icin ulasmis olman gereken asgari seviye: %d.
PARTY_ANSWER_TIMEOVER	Davet reddedildi.
PARTY_BONUS_ATTACKER	Saldiri Degeri: +%d	SA	SA
PARTY_BONUS_BERSERKER	Saldiri Hizi: +%d	SA	SA
PARTY_BONUS_BUFFER	Beceri Suresi: +%d	SA	SA
PARTY_BONUS_DEFENDER	Savunma: +%d	SA	SA
PARTY_BONUS_EXP	EXP: %%%d	SA	SA
PARTY_BONUS_SKILL_MASTER	Max. SP: +%d	SA	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA	SA
PARTY_BREAK_UP	Grubu sil
PARTY_DO_YOU_ACCEPT	  grubunuza katilmak istiyor.
PARTY_DO_YOU_JOIN	 seni grubuna davet ediyor. Kabul etmek istiyor musun?
PARTY_EXP_DISTRIBUTION_MODE	EXP paylasimi
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	seviyeye bagli
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Yuksek seviyeli grup uyeleri daha fazla EXP kazaniyor.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	esit
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tum grup uyeleri ayni EXP i alir.
PARTY_HEAL_ALL_MEMBER	Her seyi yukle.
PARTY_INCREASE_AREA_150	Grup kurulus faktor araligi 1,5.	SNA	SNA
PARTY_INCREASE_AREA_200	Grup kurulus faktor araligi 2.	SNA	SNA
PARTY_LEAVE	Grubu terket
PARTY_LONGTIME_BONUS_EXP	Uzun bir grup oyunu icin kazanilan EXP: +%%%d	SA	SA
PARTY_MEMBER_OFFLINE	[Cevrimdisi]
PARTY_RECALL_MEMBER	Grup uyesini cagir.
PARTY_REGEN_BONUS	Yeniden olusum HP- + SP primi: +%%%d	SA	SA
PARTY_REQUEST_DENIED	Basvurun reddedildi.
PARTY_ROLE_ATTACKER	Rola Atakujący:
PARTY_ROLE_BERSERK	Rola Berserkera:
PARTY_ROLE_BUFFER	Rola Blokującego:
PARTY_ROLE_SKILL_MASTER	Rola Mistrza Um.:
PARTY_ROLE_TANKER	Rola Walczącego w Zwarciu:
PARTY_ROLE_DEFENDER	Rola Obrońcy:
PARTY_SET_ATTACKER	Saldiri gucu olarak belirle
PARTY_SET_BERSERKER	Ofkeli olarak belirle
PARTY_SET_BUFFER	Tampon olarak belirle.
PARTY_SET_DEFENDER	Savunma gucu olarak belirle.
PARTY_SET_NORMAL	Geri Cekilme Ayarlari.
PARTY_SET_SKILL_MASTER	Beceri Master i olarak ayarla.
PARTY_SET_TANKER	Yakin Dovus Savascisi olarak belirle.
PARTY_SKILL_ATTACKER	Saldiri gucu olarak temel saldiri degeri +%.0f
PARTY_SKILL_BERSERKER	Ofkeli saldiri hizi +%.0f
PARTY_SKILL_BUFFER	Tampon Beceri Suresi +%.0f
PARTY_SKILL_DEFENDER	Savunmacilarin Savunmasi +%.0f
PARTY_SKILL_HP_REGEN	HP uretimi +%.0f%%
PARTY_SKILL_PARTY_AREA	Grup sirasi +%%%d
PARTY_SKILL_SKILL_MASTER	Max. SP Beceri Masteri +%.0f
PARTY_SKILL_SP_REGEN	SP uretimi +%.0f%%
PARTY_SKILL_TANKER	Max. HP Yakin Dovus Saldiri Gucu +%.0f
PARTY_SKILL_WARP	Grup uyelerini cagirmak mumkun.
PASSWORD_TITLE	Depo Sifresi
PICK_ITEM_TITLE	Esya No
PICK_MONEY_TITLE	Toplam
PRIVATE_SHOP_CANNOT_SELL_ITEM	Bu esyayi ozel depoda satamazsin.
PRIVATE_SHOP_CLOSE_QUESTION	Ozel depoyu kapatmak istiyor musun?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Ozel deponun ismi
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Fiyat
PRIVATE_SHOP_INPUT_EDIT_PRICE_DIALOG_TITLE	Edytuj cene
PRIVATE_SHOP_INPUT_EDIT_ALL_PRICE_DIALOG_TITLE	Edytuj masowo cene
PVP_LEVEL0	Kahraman
PVP_LEVEL1	Soylu
PVP_LEVEL2	Iyi
PVP_LEVEL3	Arkadasca
PVP_LEVEL4	Tarafsiz
PVP_LEVEL5	Agresif
PVP_LEVEL6	Hileli
PVP_LEVEL7	Kotu Niyetli
PVP_LEVEL8	Zalim
PVP_MODE_GUILD	PvP - Lonca etkinlestirildi
PVP_MODE_KILL	PvP - Serbest etkinlestirildi
PVP_MODE_NORMAL	PvP - Baris etkinlestirildi.
PVP_MODE_PROTECT	PvP - Koruma etkinlestirildi.
PVP_MODE_REVENGE	PvP - Dusman etkinlestirildi
PVP_OPTION_KILL	Serbest
PVP_OPTION_NORMAL	Baris
PVP_OPTION_PROTECT	Koruma
PVP_OPTION_REVENGE	Dusmanca
QUEST_APPEND	Yeni gorev geldi.
QUEST_MIN	Dk.
QUEST_SEC	Sn.
QUEST_TIMEOVER	Zaman doldu.
QUEST_UNLIMITED_TIME	Zaman siniri yok.
QUEST_ZEROSEC	0 sn.
QUICKSLOT_REGISTER_DISABLE_ITEM	Bu nesne hizli erisim alanina eklenemez.
RECEIVE_MESSAGE	%s mesaj gonderdi.
REFINE_COST	Yukseltme bedeli: %d Yang
REFINE_DESTROY_WARNING	Esya arindirilirken yok olabilir.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Bunlar iyilestirme yapilarak yukseltilecek,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	fakat hata vermesi durumunda nesne yok olabilir. Devam etmek istiyor musunuz?
REFINE_DOWN_GRADE_WARNING	Esyanin arindirilirken degeri dusebilir.
REFINE_DO_YOU_SEPARATE_METIN	Mevcut olan tum Ruh Taslari cikarilsin mi?
REFINE_FAILURE	Basaramadin.
REFINE_FAILURE_CAN_NOT_ATTACH	Bu nesneye %s katamazsin.
REFINE_FAILURE_EQUIP_ITEM	Kullanilmakta olan nesneleri gelistiremezsin.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Cikarabileceginiz ruh tasi yok.
REFINE_FAILURE_NEED_BETTER_SCROLL	Daha iyi bir yukseltme Rolesine ihtiyaciniz var.
REFINE_FAILURE_NO_GOLD_SOCKET	Burada %s eklemek icin altin yuva yok.
REFINE_FAILURE_NO_MORE_SOCKET	Daha fazla slot ekleyemezsin.
REFINE_FAILURE_NO_SOCKET0	%s eklemek icin bos slot yok.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Bu nesneye slot ekleyemezsin.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Bu nesne yukseltilemez.
REFINE_SUCCESS	Nesnenin yukseltilmesi basariyla tamamlandi.
REFINE_SUCCESS_PROBALITY	Yukseltme sansi %%%d
REFINE_WARNING2	Devam etmek istiyor musun?
SAFEBOX_ERROR	Yanlis sifre girdin.
SAFEBOX_SELL_DISABLE_SAFEITEM	Korumali nesneleri satamazsiniz.
SAFEBOX_WRONG_PASSWORD	Sifre ayni olmali.
SCREENSHOT_SAVE1	Ekran Goruntusu
SCREENSHOT_SAVE2	Dosyasi Kaydedildi
SCREENSHOT_SAVE_FAILURE	Ekran goruntusu kaydi yapilamadi.
SECOND	sn
SELECT_CAN_NOT_DELETE	Karakteri silemezsin.
SELECT_CANNOT_DELETE_WRONG_SOCIAL_ID	Niepoprawny kod usunięcia postaci.
SELECT_CANNOT_DELETE_LEVEL_LIMIT	Postać ma za duży poziom.
SELECT_CANNOT_DELETE_USING_OFFLINESHOP	Odbierz przedmioty z depozytu sklepu.
SELECT_CHANGED_NAME	Karakterin adini degistirdin
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Bu karakter adi kullaniliyor
SELECT_CHANGE_FAILURE_SAME_AS_LOGIN	Nazwa postaci jest identyczna jak nazwa konta.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tekrar dene.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bunu
SELECT_CHANGE_NAME_TITLE	Karakter adini degistir
SELECT_DELEING	Karakter silinecek.
SELECT_DELETED	Basariyla silindi.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun?
SELECT_EMPTY_SLOT	Bu bos bir alan.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Yeni karakter adi gir.
SELECT_NOT_JOIN_GUILD	Lonca yok
SHOP_BUY_INFO	Market penceresinden satin almak istedigin nesneyi sec.
SHOP_CANNOT_SELL_EQUIPMENT	Kullanilmakta olan nesneleri satamazsin.
SHOP_CANNOT_SELL_ITEM	Bu esya satilamaz.
SHOP_ERROR_UNKNOWN	Bilinmeyen market hatasi: %s
SHOP_INVALID_POS	Bu esya burada kullanilamaz.
SHOP_INVENTORY_FULL	Envanterde bos alan yok.
SHOP_NOT_ENOUGH_MONEY	Yeterli Yang yok
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli Yang'a sahip degilsin.
SHOP_SELL_INFO	Envanter penceresinden satmak istedigin nesneyi sec.
SHOP_SOLDOUT	Satildi
SHOT_ERROR_UNKNOWN	Uzaktan saldiri esnasinda belirsiz hata: %s
SKILL_BLEEDING	Kanama
SKILL_BOHO	Yansitma
SKILL_BUDONG	Henuz kullanilamaz
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Bu beceriyi ogrenmek icin EXP e ihtiyacin var.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Bu beceriyi ogrenmek icin bir kitaba ihtiyacin var.
SKILL_FLYING_TALISMAN	Latający Talizman
SKILL_FLYING_TALISMAN_DESC	Atak długodystansowy, może rozprysnąć się na przeciwników obok, szansa na spowolnienie.
SKILL_SHOOTING_DRAGON	Strzelający Smok
SKILL_SHOOTING_DRAGON_DESC	Atak dystansowo-obszarowy. Posiada szansę na podpalenie celu. 
SKILL_DRAGON_ROAR	Smoczy Skowyt
SKILL_DRAGON_ROAR_DESC	Atak obszarowy. Użycie aktywuje Smoczy Gniew.
SKILL_BLESSING	Błogosławieństwo
SKILL_BLESSING_DESC	Zwiększa odporność na ataki fizyczne. Możliwość zbuffowania innego gracza. Bonus użycia na samym sobie.
SKILL_REFLECT	Odbicie
SKILL_REFLECT_DESC	Odbija ataki fizyczne. Możliwość zbuffowania innego gracza. Bonus użycia na samym sobie.
SKILL_DRAGON_HELP	Pomoc Smoka
SKILL_DRAGON_HELP_DESC	Zwiększa szanse na krytyczne uderzenie. Możliwość zbuffowania innego gracza. Bonus użycia na samym sobie.
SKILL_LIGHTNING_THROW	Rzut Piorunem
SKILL_LIGHTNING_THROW_DESC	Atak z dystansu o dużym zasięgu, atakuje jednego przeciwnika, lub kilku stojących obok siebie.
SKILL_SUMMON_LIGHTNING	Przywołanie błyskawicy
SKILL_SUMMON_LIGHTNING_DESC	Atak obszarowy. Posiada szansę na omdlenie przeciwinika.
SKILL_LIGHTNING_CLAW	Burzowy Szpon
SKILL_LIGHTNING_CLAW_DESC	Wywołuje reakcję łańcuchową. Atakuje wiele celów.
SKILL_CURE	Leczenie
SKILL_CURE_DESC	Natychmiast regeneruje Punkty Życia. Szansa na usunięcie negatywnych efektów. Absorpcja obrażeń od potworów. Możliwość użycia na innym graczu.
SKILL_SWIFTNESS	Zwinność
SKILL_SWIFTNESS_DESC	Zwiększa prędkość poruszania się oraz przyspiesza tempo odnowienia umiejętności. Możliwość zbuffowania innego gracza. Bonus użycia na samym sobie.
SKILL_ATTACK_UP	Zwiększenie Ataku
SKILL_ATTACK_UP_DESC	Zwiększa zadawane obrażenia fizyczne i magiczne. Możliwość zbuffowania innego gracza. Bonus użycia na samym sobie.
SKILL_DARK_STRIKE	Mroczne Uderzenie
SKILL_DARK_STRIKE_DESC	Atak długodystansowy, atakuje wiele celów.
SKILL_FLAME_STRIKE	Ogniste Uderzenie
SKILL_FLAME_STRIKE_DESC	Atak obszarowy we wszystkich przeciwników wokół postaci. 
SKILL_FLAME_SPIRIT	Ognisty Duch
SKILL_FLAME_SPIRIT_DESC	Atak ognistych kul na zaznaczony cel, obrażenia mogą rozprysnąć na potwory stojące obok.
SKILL_MANASHIELD	Mroczna Ochrona
SKILL_MANASHIELD_DESC	Przekierowuje obrażenia z PŻ na PE.
SKILL_SPIRIT_ORB	Duchowy Cios
SKILL_SPIRIT_ORB_DESC	Atak długodystansowy, atakuje wiele celów. Posiada szansę na spowolnienie przeciwika.
SKILL_DARK_ORB	Mroczna Sfera
SKILL_DARK_ORB_DESC	Atak długodystansowy w przeciwnika.
SKILL_FINGER_STRIKE	Uderzenie Palcem
SKILL_FINGER_STRIKE_DESC	Atak umożliwiający ominięcie obrony przeciwnika.
SKILL_DRAGON_SWIRL	Smoczy Wir
SKILL_DRAGON_SWIRL_DESC	Atakuje wszystkich przeciwników wokół siebie.
SKILL_ENCHANTED_BLADE	Czarowane Ostrze
SKILL_ENCHANTED_BLADE_DESC	Zwiększa zadawane obrażenia fizyczne oraz kradnie PŻ od przeciwnika. 
SKILL_TERROR	Strach
SKILL_TERROR_DESC	Zmniejsza obrażenia fizyczne zadawane przez przeciwników.
SKILL_ENCHANTED_ARMOR	Czarowana Zbroja
SKILL_ENCHANTED_ARMOR_DESC	Zwiększa obronę oraz posiada szansę na odbicie ciosu fizycznego.
SKILL_DISPEL	Rozproszenie Magii
SKILL_DISPEL_DESC	Usuwa wszystkie umiejętności wspomagające przeciwnika.
SKILL_AMBUSH	Zasadzka
SKILL_AMBUSH_DESC	Atak obszarowy, Siła ataku może być zwiększona dzięki umiejętności Krycie Się.
SKILL_FAST_ATTACK	Szybki Atak
SKILL_FAST_ATTACK_DESC	Szybki atak obszarowy i teleportujący. 
SKILL_ROLLING_DAGGER	Wirujący Sztylet
SKILL_ROLLING_DAGGER_DESC	Atak obrotowy posiadający trzy szanse na trafienie oraz szansę na otrucie przeciwnika. 
SKILL_STEALTH	Krycie Się
SKILL_STEALTH_DESC	Powoduje ukrycie się postaci, atak z Zasadzki.
SKILL_POISON_CLOUD	Trująca Chmura
SKILL_POISON_CLOUD_DESC	Posiada szanse na otrucie przeciwnika.
SKILL_REPETITIVE_SHOT	Powtarzalny Strzał
SKILL_REPETITIVE_SHOT_DESC	Wystrzał kilku strzał pod rząd. Szansa na przeszywający strzał.
SKILL_ARROW_SHOWER	Deszcz Strzał
SKILL_ARROW_SHOWER_DESC	Miotaj kilka strzał w kilku wrogów.
SKILL_FIRE_ARROW	Ognista Strzała
SKILL_FIRE_ARROW_DESC	Atak obszarowy, szansa na podpalenie.
SKILL_FEATHER_WALK	Bezszelestny Chód
SKILL_FEATHER_WALK_DESC	Zwiększa szybkość poruszania się. Zwiększa regenerację staminy w walce. Słabsze potwory nie słyszą twoich kroków.
SKILL_POISON_ARROW	Trująca Strzała
SKILL_POISON_ARROW_DESC	Posiada szansę na otrucie przeciwnika oraz zawiera w sobie omdlenie.
SKILL_STRONG_BODY	Silne Ciało
SKILL_STRONG_BODY_DESC	Zwiększa obronę, zmniejsza szybkość poruszania się. Od poziomu G postać nie upada oraz zwiększa Odporność na Przeszywające Uderzenie.
SKILL_SPIRIT_STRIKE	Duchowe Uderzenie
SKILL_SPIRIT_STRIKE_DESC	Silne frontowe uderzenie obszarowe.
SKILL_BASH	Walnięcie
SKILL_BASH_DESC	Gwałtowne frontalne uderzenie w prostokątny obszar.
SKILL_STUMP	Tąpnięcie
SKILL_STUMP_DESC	Atakuje przeciwników wokół siebie, posiada szansę na omdlenie przeciwnika.
SKILL_SWORD_STRIKE	Uderzenie Miecza
SKILL_SWORD_STRIKE_DESC	Atak długodystansowy, omdlewa przeciwnika.
SKILL_CRITICAL	Kritik Vurus
SKILL_ENCHANT_POISON	Zehir Uygulama
SKILL_STEALTH	Krycie Się
SKILL_FAINT	Sersemletme
SKILL_FIND_TRAP	Tuzak Kurma
SKILL_FIRE	Surekli Ates
SKILL_FISHMIND	Balikcilik Kuresi etkin
SKILL_SPRINT_AFFECT	Prędkość ruchu znacznie zwiększona.
AFFECT_HEAVEN_PROTECTION	Niebiańska Tarcza
AFFECT_DEBUFF_HEAVEN_PROTECTION	Niebiańska Tarcza nie może zostać nadana.
AFFECT_FIRE_RAGE	Smoczy Gniew
AFFECT_BLOODTHIRST	Żądza Krwi
SKILL_GAMJI	Yakalama
SKILL_SWORD_AURA	Aura Miecza
SKILL_SWORD_AURA_DESC	Zwiększa siłę ataku.
SKILL_WHIRLWIND	Wir Miecza
SKILL_WHIRLWIND_DESC	Atakuje wszystkich przeciwników wokół siebie.
SKILL_BERSERK	Berserk
SKILL_BERSERK_DESC	Zwiększa szybkość ataku i ruchu oraz zwiększa obrażenia zadawane przez przeciwników.
SKILL_THREEWAY_CUT	Trzystronne Cięcie
SKILL_THREEWAY_CUT_DESC	Atak trzema ciosami pod rząd.
SKILL_CHARGE	Szarża
SKILL_CHARGE_DESC	Szybki atak z szansą na omdlenie przeciwnika.
SKILL_GEONGON	SKILL_GEONGON Henuz kullanilamaz
SKILL_DRAGON_HELP	Pomoc Smoka
SKILL_GIGONG	Chi Donusu
SKILL_TERROR	Strach
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master
SKILL_GROUP_ASSASSIN_1	Bicak
SKILL_GROUP_ASSASSIN_2	Ok
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	EjderGucu
SKILL_GROUP_SHAMAN_2	Iyilestirme
SKILL_GROUP_SURA_1	Silah
SKILL_GROUP_SURA_2	Kara Buyu
SKILL_GROUP_WARRIOR_1	Bedensel
SKILL_GROUP_WARRIOR_2	Zihinsel
SKILL_ENCHANTED_BLADE	Czarowane Ostrze
SKILL_FEATHER_WALK	Bezszelestny Chód
SKILL_MANASHIELD	Mroczna Ochrona
SKILL_BLESSING	Błogosławieństwo
SKILL_HWAYEOM	SKILL_HWAYEOM Kullanilamaz.
SKILL_HYEOLMA	SKILL_HYEOLMA Kullanilamaz.
SKILL_INC_ATKSPD	Saldiri hizi arttirildi
SKILL_INC_MOVSPD	Hareket hizi arttirildi
SKILL_INMA	SKILL_INMA Kullanilamaz.
SKILL_JEOJU	Lanet
SKILL_JEONGEOP	Iyilestirme
SKILL_JEONSINBANGEO	Maksimum Defans
SKILL_JEONSINGONGGYEOK	Maksimum Saldiri
SKILL_JEUNGCHE	SKILL_JEUNGCHE Kullanilamaz.
SKILL_JEUNGHON	SKILL_JEUNGHON Kullanilamaz.
SKILL_ATTACK_UP	Atak +
SKILL_JEUNGSOK	Hiz +
SKILL_JIGAM	SKILL_JIGAM Kullanilamaz.
SKILL_JIPJUNG	SKILL_JIPJUNG Kullanilamaz.
SKILL_ENCHANTED_ARMOR	Czarowana Zbroja
SKILL_JUMAGEOM	SKILL_JUMAGEOM Kullanilamaz
SKILL_KWAEGEOM	SKILL_KWAEGEOM Kullanilamaz
SKILL_SWIFTNESS	Szybkość
SKILL_LEGBOUND	SKILL_LEGBOUND Kullanilamaz
SKILL_MUSA	SKILL_MUSA Kullanilamaz.
SKILL_FLAME_SPIRIT	Ognisty Duch
SKILL_NEED_EMPTY_BOTTLE	Bos sisem yok.
SKILL_NEED_POISON_BOTTLE	Zehir sisem yok.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi sadece Lonca Savasi sirasinda kullanabilirsin.
SKILL_DISPEL	Rozproszenie Magii
SKILL_POWERFUL_STRIKE	Sersemletici Saldiri
SKILL_SEOMGWANG	Simsek Bombasi
SKILL_SINCHAK	SKILL_SINCHAK Kullanilamaz
SKILL_SLEEP	Uyku
SKILL_SLOW	Yavas
SKILL_STUN	Sersemletme
SKILL_ROOT	Uziemienie
SKILL_HEAL_ON_ATTACK	Dotyk Światła
SKILL_SUHO	Koruma
SKILL_SUMMON_DESCRIPTION	Cagirma sansi: %%%d
SKILL_TOOLTIP_INT	Zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	Zehirleme
SKILL_TOXICPOWER	Zehirleme saldirisi yukseltildi.
SKILL_TUSOK	Hayalet Vurus
SKILL_WONSIN	SKILL_WONSIN Kullanilamaz.
SKILL_YONGSIN	SKILL_YONGSIN Kullanilamaz.
STAT_MINUS_CON	Canlilik Ayari (Kalan sans: %d)
STAT_MINUS_DEX	Ceviklik Ayari (Kalan sans: %d)
STAT_MINUS_INT	Zeka Ayari (Kalan sans: %d)
STAT_MINUS_STR	Guc Ayari (Kalan sans: %d)
STAT_TOOLTIP_CON	HP ve Savunma'yi arttiriyor
STAT_TOOLTIP_DEX	Saldiri ve Savusturma'yi arttiryor
STAT_TOOLTIP_INT	SP, Buyulu Saldiri ve Savunma'yi artiriyor
STAT_TOOLTIP_STR	Saldiri Degeri'ni ve Hasari arttiriyor
SYMBOLLIST_TITLE	Lonca Bayragi kaydedildi.
SYSTEM_OPTION_CPU_TILING_1	CPU modu zayif bilgisayarlarin daha hizli calismasini saglar.
SYSTEM_OPTION_CPU_TILING_2	Eger grafiklerde problem varsa diger secenegi isaretleyiniz ,Sistem secenekleri' veya ,CONFIG.exe'
SYSTEM_OPTION_CPU_TILING_3	ve GPU modunu secin.
SYSTEM_OPTION_GPU_TILING_1	GPU Modu zayif bilgisayarlari daha yavas calistirir.
SYSTEM_OPTION_GPU_TILING_2	Grafik ile ilgili sorunlarda, 'Sistem Secenekleri' veya 'CONFIG.exe'yi sec
SYSTEM_OPTION_GPU_TILING_3	GPU modunu degistirin.
SYSTEM_OPTION_TILING_EXIT	Tiling-Modu degisimi icin oyun yeniden baslatilmali.
TARGET_BUTTON_ACCEPT_FIGHT	Anlasma
TARGET_BUTTON_AVENGE	Intikam
TARGET_BUTTON_BUILDING_DESTROY	Yikmak
TARGET_BUTTON_DISMOUNT	Inmek
TARGET_BUTTON_EMOTION_ALLOW	Duygular
TARGET_BUTTON_EXCHANGE	Ticaret
TARGET_BUTTON_EXCLUDE	Reddetmek
TARGET_BUTTON_EXIT_OBSERVER	Gozlemci Modunu Bitir
TARGET_BUTTON_FIGHT	Duello
TARGET_BUTTON_FRIEND	Dost
TARGET_BUTTON_INVITE_GUILD	Lonca daveti
TARGET_BUTTON_INVITE_PARTY	Grup daveti
TARGET_BUTTON_LEAVE_PARTY	Grubu terket
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruba katil
TARGET_BUTTON_VIEW_EQUIPMENT	Zirh
TARGET_BUTTON_WHISPER	Fisildama
TARGET_BUTTON_REPORT	Zgłoś
TARGET_LEVEL_BOSS	Patron
TARGET_LEVEL_KING	5.Seviye
TARGET_LEVEL_KNIGHT	3.Seviye
TARGET_LEVEL_PAWN	1.Seviye
TARGET_LEVEL_S_KNIGHT	4.Seviye
TARGET_LEVEL_S_PAWN	2.Seviye
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	Otomatik Saldiri
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Deneyim
TASKBAR_HP	HP
TASKBAR_MOVE	ilerle
TASKBAR_SKILL	Beceri
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	hepsi
TOOLTIP_ANTI_CRITICAL_PCT	Kritik Vurus Direnci +%%%d	SA	SA
TOOLTIP_ANTI_PENETRATE_PCT	Delici Vurus Direnci +%%%d	SA	SA
TOOLTIP_ANTI_SELL	Depoda satilamaz
TOOLTIP_APPLY_ACCEDRAIN_RATE	Emis Derecesi: %%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Hayvanlara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Seytanlara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yari insanlara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Mistiklere karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orklara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Samanlara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Suralara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Olumsuzlere karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savascilara karsi guclu +%%%d	SA	SA
TOOLTIP_APPLY_BLEEDING_PCT	Kanama Saldirisi +%%%d	SA	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Kanama saldirilarinda direnc +%%%d	SA	SA
TOOLTIP_APPLY_BLOCK	Yakin dovus saldirilari bloklama sansi: %%%d	SA	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Savasta her 5 saniyede SP yenile %d	SA	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kritik Vurus Sansi: +%%%d	SA	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Vurus yapildiginda Sp geri kazanim sansi %%%d	SA	SA
TOOLTIP_APPLY_SKILL_DURATION	Czas trwania umiejętności +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC_VALLEY	Obrażenia w Dolinie Seungryong +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_STONE	Obrażenia przeciwko Metinom +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOSS	Obrażenia przeciwko Bossom +%d%%	SA
TOOLTIP_APPLY_MAGIC_ATT	Obrażenia magiczne +%d%%	SA
TOOLTIP_APPLY_MAGIC_ATT_MONSTER	Obrażenia magiczne przeciwko potworom +%d%%	SA
TOOLTIP_APPLY_MAGIC_ATT_GRADE_MONSTER	+%d obrażeń magicznych przeciwko potworom	SA
TOOLTIP_APPLY_BREAK_RESIST_SWORD	Złamanie Odporności na Miecze +%d%%	SA
TOOLTIP_APPLY_POINT_BREAK_RESIST_TWOHAND	Złamanie Odporności na Broń Dwuręczną +%d%%	SA
TOOLTIP_APPLY_BREAK_RESIST_DAGGER	Złamanie Odporności na Sztylety +%d%%	SA
TOOLTIP_APPLY_BREAK_RESIST_BELL	Złamanie Odporności na Dzwony +%d%%	SA
TOOLTIP_APPLY_BREAK_RESIST_FAN	Złamanie Odporności na Wachlarze +%d%%	SA
TOOLTIP_APPLY_BREAK_RESIST_BOW	Złamanie Odporności na Strzały +%d%%	SA
TOOLTIP_APPLY_DODGE	Oklardan korunma sansi %%%d	SA	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	EXP Bonus sansi %%%d	SA	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Iki kat Yang dusme sansi %%%d	SA	SA
TOOLTIP_APPLY_IMMUNE_FALL	Yere dusme karsisinda bagisiklik	SNA	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaslama karsisinda bagisiklik	SNA	SNA
